,case:concept:name,case:creator,lifecycle:transition,time:timestamp,org:resource,category,application,concept:name,event_src_path,event_dest_path,clipboard_content,mouse_coord,workbook,current_worksheet,worksheets,sheets,cell_content,cell_range,cell_range_number,window_size,slides,effect,hotkey,id,title,description,browser_url,eventQual,tab_moved_from_index,tab_moved_to_index,newZoomFactor,oldZoomFactor,tab_pinned,tab_audible,tab_muted,window_ingognito,file_size,tag_category,tag_type,tag_name,tag_title,tag_value,tag_checked,tag_html,tag_href,tag_innerText,tag_option,tag_attributes,xpath,xpath_full
0,1004020522000000,SmartRPA by marco2012,complete,2020-10-04T02:06:19.000,joel99,MicrosoftOffice,Microsoft Excel,saveWorkbook,/ability/gun.wav,,,,Workbook13,Sheet17,"['Sheet17', 'Sheet6']",,before,Z16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1004020522000000,SmartRPA by marco2012,complete,2020-10-04T02:06:28.000,joel99,MicrosoftOffice,Microsoft Excel,XMLExportWorkbook,,,,,Workbook16,Sheet6,['Sheet6'],,environment,R18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1004020522000000,SmartRPA by marco2012,complete,2020-10-04T02:06:53.000,joel99,MicrosoftOffice,Microsoft Excel,getRange,,,,,Workbook12,Sheet2,['Sheet2'],,walk,R18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1004020522000000,SmartRPA by marco2012,complete,2020-10-04T02:07:53.000,joel99,MicrosoftOffice,Microsoft Excel,getRange,,,,,Workbook7,Sheet10,['Sheet10'],,long,V14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1004020522000000,SmartRPA by marco2012,complete,2020-10-04T02:08:47.000,joel99,MicrosoftOffice,Microsoft Word,openDocument,/network/as.gif,,,,,,,,,,,,,,,,scene,,,,,,,,,,,,,,,,,,,,,,,,,
5,1004020522000000,SmartRPA by marco2012,complete,2020-10-04T02:09:26.000,joel99,MicrosoftOffice,Microsoft PowerPoint,activateWindow,/small/us.mp3,,,,,,,,,,,,"0, 1, 2, 3, 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1004020522000000,SmartRPA by marco2012,complete,2020-10-04T02:09:37.000,joel99,MicrosoftOffice,Microsoft Word,openDocument,/fire/single.png,,,,,,,,,,,,,,,,step,,,,,,,,,,,,,,,,,,,,,,,,,
7,1004020522000000,SmartRPA by marco2012,complete,2020-10-04T02:09:52.000,joel99,MicrosoftOffice,Microsoft Excel,XMLExportWorkbook,,,,,Workbook10,Sheet8,"['Sheet8', 'Sheet11']",,reveal,Q13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1004020522000000,SmartRPA by marco2012,complete,2020-10-04T02:10:34.000,joel99,MicrosoftOffice,Microsoft Excel,XMLExportWorkbook,,,,,Workbook18,Sheet14,"['Sheet14', 'Sheet10']",,reveal,G0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1004020522000000,SmartRPA by marco2012,complete,2020-10-04T02:11:06.000,joel99,MicrosoftOffice,Microsoft Excel,editCellSheet,,,,,Workbook13,Sheet6,['Sheet6'],,yes,H13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1004020522000000,SmartRPA by marco2012,complete,2020-10-04T02:11:54.000,joel99,MicrosoftOffice,Microsoft Excel,printWorkbook,,,,,Workbook3,Sheet16,['Sheet16'],,kid,V14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1004020522000000,SmartRPA by marco2012,complete,2020-10-04T02:12:04.000,joel99,MicrosoftOffice,Microsoft Excel,getRange,,,,,Workbook12,Sheet17,['Sheet17'],,environment,X12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1004020522000000,SmartRPA by marco2012,complete,2020-10-04T02:12:29.000,joel99,MicrosoftOffice,Microsoft PowerPoint,printPresentation,/loss/marriage.mov,,,,,,,,,,,,"0, 1, 2, 3, 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1004020522000000,SmartRPA by marco2012,complete,2020-10-04T02:12:35.000,joel99,MicrosoftOffice,Microsoft PowerPoint,printPresentation,/fire/single.png,,,,,,,,,,,,"0, 1, 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1004020522000000,SmartRPA by marco2012,complete,2020-10-04T02:13:13.000,joel99,MicrosoftOffice,Microsoft Word,rightClickWindow,/from/movement.webm,,,,,,,,,,,,,,,,reveal,,,,,,,,,,,,,,,,,,,,,,,,,
15,1004020522000000,SmartRPA by marco2012,complete,2020-10-04T02:13:20.000,joel99,MicrosoftOffice,Microsoft Excel,saveWorkbook,/small/us.mp3,,,,Workbook2,Sheet3,"['Sheet3', 'Sheet15']",,technology,X12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1004020522000000,SmartRPA by marco2012,complete,2020-10-04T02:13:43.000,joel99,MicrosoftOffice,Microsoft Word,rightClickWindow,/might/training.png,,,,,,,,,,,,,,,,reveal,,,,,,,,,,,,,,,,,,,,,,,,,
17,1004020522000000,SmartRPA by marco2012,complete,2020-10-04T02:14:12.000,joel99,MicrosoftOffice,Microsoft PowerPoint,newPresentationSlide,/fire/single.png,,,,,,,,,,,,"0, 1, 2, 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1004020522000000,SmartRPA by marco2012,complete,2020-10-04T02:14:23.000,joel99,MicrosoftOffice,Microsoft Word,newDocument,/say/however.mp3,,,,,,,,,,,,,,,,sing,,,,,,,,,,,,,,,,,,,,,,,,,
19,1004020522000000,SmartRPA by marco2012,complete,2020-10-04T02:15:02.000,joel99,MicrosoftOffice,Microsoft Excel,printWorkbook,,,,,Workbook13,Sheet18,"['Sheet18', 'Sheet8']",,environment,H13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1004020522000000,SmartRPA by marco2012,complete,2020-10-04T02:15:59.000,joel99,MicrosoftOffice,Microsoft Excel,deactivateWorkbook,,,,,Workbook12,Sheet19,['Sheet19'],,scene,H13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1004020522000000,SmartRPA by marco2012,complete,2020-10-04T02:16:01.000,joel99,OperatingSystem,Explorer,openFile,/very/follow.tiff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1004020522000000,SmartRPA by marco2012,complete,2020-10-04T02:16:45.000,joel99,MicrosoftOffice,Microsoft Excel,worksheetTableUpdated,,,,,Workbook18,Sheet16,['Sheet16'],,west,H13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1004020522000000,SmartRPA by marco2012,complete,2020-10-04T02:16:47.000,joel99,OperatingSystem,Clipboard,paste,,,Matter dream the believe.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1004020522000000,SmartRPA by marco2012,complete,2020-10-04T02:17:23.000,joel99,OperatingSystem,Explorer,selectFile,/half/listen.js,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0804115856000000,SmartRPA by marco2012,complete,2020-08-04T11:59:05.000,fishersteven,MicrosoftOffice,Microsoft PowerPoint,activateWindow,/say/however.mp3,,,,,,,,,,,,"0, 1, 2, 3, 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0804115856000000,SmartRPA by marco2012,complete,2020-08-04T11:59:50.000,fishersteven,MicrosoftOffice,Microsoft Word,openDocument,/environmental/defense.flac,,,,,,,,,,,,,,,,long,,,,,,,,,,,,,,,,,,,,,,,,,
27,0804115856000000,SmartRPA by marco2012,complete,2020-08-04T12:00:48.000,fishersteven,MicrosoftOffice,Microsoft Excel,getRange,,,,,Workbook9,Sheet13,['Sheet13'],,kid,M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0804115856000000,SmartRPA by marco2012,complete,2020-08-04T12:01:35.000,fishersteven,MicrosoftOffice,Microsoft Excel,XMLImportWorkbook,,,,,Workbook9,Sheet12,"['Sheet12', 'Sheet6']",,west,O5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0804115856000000,SmartRPA by marco2012,complete,2020-08-04T12:02:06.000,fishersteven,MicrosoftOffice,Microsoft Word,rightClickWindow,/firm/picture.docx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0804115856000000,SmartRPA by marco2012,complete,2020-08-04T12:02:19.000,fishersteven,MicrosoftOffice,Microsoft Excel,getRange,,,,,Workbook14,Sheet7,['Sheet7'],,,U0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0804115856000000,SmartRPA by marco2012,complete,2020-08-04T12:03:12.000,fishersteven,MicrosoftOffice,Microsoft Word,openDocument,/firm/picture.docx,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
32,0804115856000000,SmartRPA by marco2012,complete,2020-08-04T12:03:39.000,fishersteven,MicrosoftOffice,Microsoft Excel,saveWorkbook,/fire/single.png,,,,Workbook17,Sheet2,"['Sheet2', 'Sheet5']",,none,V9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0804115856000000,SmartRPA by marco2012,complete,2020-08-04T12:04:04.000,fishersteven,MicrosoftOffice,Microsoft Excel,getRange,,,,,Workbook5,Sheet5,"['Sheet5', 'Sheet2']",,west,M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0804115856000000,SmartRPA by marco2012,complete,2020-08-04T12:04:47.000,fishersteven,MicrosoftOffice,Microsoft PowerPoint,newPresentationSlide,/from/movement.webm,,,,,,,,,,,,"0, 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0804115856000000,SmartRPA by marco2012,complete,2020-08-04T12:04:54.000,fishersteven,MicrosoftOffice,Microsoft Word,openDocument,/firm/picture.docx,,,,,,,,,,,,,,,,scene,,,,,,,,,,,,,,,,,,,,,,,,,
36,0804115856000000,SmartRPA by marco2012,complete,2020-08-04T12:05:16.000,fishersteven,MicrosoftOffice,Microsoft Word,newDocument,/culture/maintain.mov,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
37,0804115856000000,SmartRPA by marco2012,complete,2020-08-04T12:05:50.000,fishersteven,MicrosoftOffice,Microsoft Excel,XMLExportWorkbook,,,,,Workbook17,Sheet12,"['Sheet12', 'Sheet11']",,walk,V14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0804115856000000,SmartRPA by marco2012,complete,2020-08-04T12:06:01.000,fishersteven,MicrosoftOffice,Microsoft Word,newDocument,/whatever/gas.avi,,,,,,,,,,,,,,,,scene,,,,,,,,,,,,,,,,,,,,,,,,,
39,0804115856000000,SmartRPA by marco2012,complete,2020-08-04T12:06:02.000,fishersteven,MicrosoftOffice,Microsoft Word,rightClickWindow,/firm/picture.docx,,,,,,,,,,,,,,,,society,,,,,,,,,,,,,,,,,,,,,,,,,
40,0804115856000000,SmartRPA by marco2012,complete,2020-08-04T12:06:35.000,fishersteven,MicrosoftOffice,Microsoft Excel,deleteWorksheet,,,,,Workbook16,Sheet2,"['Sheet2', 'Sheet12']",,since,V14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0804115856000000,SmartRPA by marco2012,complete,2020-08-04T12:06:51.000,fishersteven,MicrosoftOffice,Microsoft Excel,printWorkbook,,,,,Workbook8,Sheet4,"['Sheet4', 'Sheet2']",,yes,U0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0804115856000000,SmartRPA by marco2012,complete,2020-08-04T12:07:49.000,fishersteven,MicrosoftOffice,Microsoft Excel,deselectWorksheet,,,,,Workbook9,Sheet18,"['Sheet18', 'Sheet10']",,buy,A8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0804115856000000,SmartRPA by marco2012,complete,2020-08-04T12:08:24.000,fishersteven,MicrosoftOffice,Microsoft Excel,saveWorkbook,/say/however.mp3,,,,Workbook19,Sheet8,"['Sheet8', 'Sheet2']",,before,Q6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0804115856000000,SmartRPA by marco2012,complete,2020-08-04T12:08:53.000,fishersteven,MicrosoftOffice,Microsoft Excel,printWorkbook,,,,,Workbook17,Sheet15,['Sheet15'],,everything,X12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0804115856000000,SmartRPA by marco2012,complete,2020-08-04T12:08:58.000,fishersteven,MicrosoftOffice,Microsoft Excel,deactivateWorkbook,,,,,Workbook12,Sheet19,['Sheet19'],,scene,H13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0804115856000000,SmartRPA by marco2012,complete,2020-08-04T12:09:00.000,fishersteven,OperatingSystem,Explorer,openFile,/very/follow.tiff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0804115856000000,SmartRPA by marco2012,complete,2020-08-04T12:09:45.000,fishersteven,MicrosoftOffice,Microsoft Excel,worksheetTableUpdated,,,,,Workbook18,Sheet16,['Sheet16'],,west,H13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0804115856000000,SmartRPA by marco2012,complete,2020-08-04T12:10:37.000,fishersteven,OperatingSystem,Clipboard,paste,,,Matter dream the believe.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,0804115856000000,SmartRPA by marco2012,complete,2020-08-04T12:11:14.000,fishersteven,OperatingSystem,Explorer,selectFile,/half/listen.js,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1006213725000000,SmartRPA by marco2012,complete,2020-10-06T21:37:36.000,irwintina,MicrosoftOffice,Microsoft Excel,saveWorkbook,/help/know.tiff,,,,Workbook10,Sheet4,"['Sheet4', 'Sheet12']",,buy,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1006213725000000,SmartRPA by marco2012,complete,2020-10-06T21:38:19.000,irwintina,MicrosoftOffice,Microsoft Excel,XMLImportWorkbook,,,,,Workbook2,Sheet16,['Sheet16'],,technology,U0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1006213725000000,SmartRPA by marco2012,complete,2020-10-06T21:39:16.000,irwintina,MicrosoftOffice,Microsoft Excel,deselectWorksheet,,,,,Workbook9,Sheet1,"['Sheet1', 'Sheet17']",,reveal,R18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1006213725000000,SmartRPA by marco2012,complete,2020-10-06T21:39:56.000,irwintina,MicrosoftOffice,Microsoft Excel,XMLExportWorkbook,,,,,Workbook12,Sheet17,"['Sheet17', 'Sheet10']",,more,U0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1006213725000000,SmartRPA by marco2012,complete,2020-10-06T21:40:03.000,irwintina,MicrosoftOffice,Microsoft PowerPoint,printPresentation,/culture/maintain.mov,,,,,,,,,,,,"0, 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1006213725000000,SmartRPA by marco2012,complete,2020-10-06T21:40:57.000,irwintina,MicrosoftOffice,Microsoft Word,rightClickWindow,/say/however.mp3,,,,,,,,,,,,,,,,since,,,,,,,,,,,,,,,,,,,,,,,,,
56,1006213725000000,SmartRPA by marco2012,complete,2020-10-06T21:41:35.000,irwintina,MicrosoftOffice,Microsoft Excel,editCellSheet,,,,,Workbook9,Sheet15,['Sheet15'],,more,V14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1006213725000000,SmartRPA by marco2012,complete,2020-10-06T21:41:38.000,irwintina,MicrosoftOffice,Microsoft Excel,getRange,,,,,Workbook14,Sheet4,['Sheet4'],,scene,O5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1006213725000000,SmartRPA by marco2012,complete,2020-10-06T21:42:15.000,irwintina,MicrosoftOffice,Microsoft PowerPoint,printPresentation,/help/know.tiff,,,,,,,,,,,,"0, 1, 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1006213725000000,SmartRPA by marco2012,complete,2020-10-06T21:43:14.000,irwintina,MicrosoftOffice,Microsoft Word,openDocument,/structure/government.ppt,,,,,,,,,,,,,,,,step,,,,,,,,,,,,,,,,,,,,,,,,,
60,1006213725000000,SmartRPA by marco2012,complete,2020-10-06T21:43:31.000,irwintina,MicrosoftOffice,Microsoft Word,openDocument,/ability/gun.wav,,,,,,,,,,,,,,,,long,,,,,,,,,,,,,,,,,,,,,,,,,
61,1006213725000000,SmartRPA by marco2012,complete,2020-10-06T21:43:40.000,irwintina,MicrosoftOffice,Microsoft Excel,XMLExportWorkbook,,,,,Workbook7,Sheet11,['Sheet11'],,environment,Z16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1006213725000000,SmartRPA by marco2012,complete,2020-10-06T21:44:04.000,irwintina,MicrosoftOffice,Microsoft Excel,printWorkbook,,,,,Workbook3,Sheet4,"['Sheet4', 'Sheet15']",,step,Q6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1006213725000000,SmartRPA by marco2012,complete,2020-10-06T21:44:24.000,irwintina,MicrosoftOffice,Microsoft Excel,deleteWorksheet,,,,,Workbook9,Sheet5,['Sheet5'],,west,Q6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1006213725000000,SmartRPA by marco2012,complete,2020-10-06T21:45:14.000,irwintina,MicrosoftOffice,Microsoft PowerPoint,newPresentationSlide,/say/however.mp3,,,,,,,,,,,,"0, 1, 2, 3, 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1006213725000000,SmartRPA by marco2012,complete,2020-10-06T21:45:57.000,irwintina,MicrosoftOffice,Microsoft Word,activateWindow,/network/as.gif,,,,,,,,,,,,,,,,before,,,,,,,,,,,,,,,,,,,,,,,,,
66,1006213725000000,SmartRPA by marco2012,complete,2020-10-06T21:46:27.000,irwintina,MicrosoftOffice,Microsoft Excel,getRange,,,,,Workbook16,Sheet16,['Sheet16'],,long,R18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1006213725000000,SmartRPA by marco2012,complete,2020-10-06T21:47:10.000,irwintina,MicrosoftOffice,Microsoft Word,rightClickWindow,/ability/gun.wav,,,,,,,,,,,,,,,,long,,,,,,,,,,,,,,,,,,,,,,,,,
68,1006213725000000,SmartRPA by marco2012,complete,2020-10-06T21:47:25.000,irwintina,MicrosoftOffice,Microsoft Excel,getRange,,,,,Workbook18,Sheet4,['Sheet4'],,scene,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,1006213725000000,SmartRPA by marco2012,complete,2020-10-06T21:47:41.000,irwintina,MicrosoftOffice,Microsoft PowerPoint,activateWindow,/help/know.tiff,,,,,,,,,,,,"0, 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1006213725000000,SmartRPA by marco2012,complete,2020-10-06T21:48:04.000,irwintina,MicrosoftOffice,Microsoft Excel,deactivateWorkbook,,,,,Workbook12,Sheet19,['Sheet19'],,scene,H13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1006213725000000,SmartRPA by marco2012,complete,2020-10-06T21:48:34.000,irwintina,OperatingSystem,Explorer,openFile,/very/follow.tiff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1006213725000000,SmartRPA by marco2012,complete,2020-10-06T21:49:03.000,irwintina,MicrosoftOffice,Microsoft Excel,worksheetTableUpdated,,,,,Workbook18,Sheet16,['Sheet16'],,west,H13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,1006213725000000,SmartRPA by marco2012,complete,2020-10-06T21:49:17.000,irwintina,OperatingSystem,Clipboard,paste,,,Matter dream the believe.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1006213725000000,SmartRPA by marco2012,complete,2020-10-06T21:49:57.000,irwintina,OperatingSystem,Explorer,selectFile,/half/listen.js,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,0413013626000000,SmartRPA by marco2012,complete,2020-04-13T01:36:44.000,maxwelljames,MicrosoftOffice,Microsoft Excel,editCellSheet,,,,,Workbook4,Sheet7,['Sheet7'],,society,A12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,0413013626000000,SmartRPA by marco2012,complete,2020-04-13T01:37:13.000,maxwelljames,MicrosoftOffice,Microsoft Excel,editCellSheet,,,,,Workbook4,Sheet4,"['Sheet4', 'Sheet7']",,since,G0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,0413013626000000,SmartRPA by marco2012,complete,2020-04-13T01:37:15.000,maxwelljames,MicrosoftOffice,Microsoft Excel,getRange,,,,,Workbook17,Sheet16,"['Sheet16', 'Sheet18']",,environment,V14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,0413013626000000,SmartRPA by marco2012,complete,2020-04-13T01:37:19.000,maxwelljames,MicrosoftOffice,Microsoft Excel,XMLExportWorkbook,,,,,Workbook12,Sheet8,"['Sheet8', 'Sheet7']",,since,K12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,0413013626000000,SmartRPA by marco2012,complete,2020-04-13T01:37:22.000,maxwelljames,MicrosoftOffice,Microsoft PowerPoint,newPresentationSlide,/firm/picture.docx,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,0413013626000000,SmartRPA by marco2012,complete,2020-04-13T01:37:47.000,maxwelljames,MicrosoftOffice,Microsoft Excel,editCellSheet,,,,,Workbook7,Sheet4,['Sheet4'],,before,X10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,0413013626000000,SmartRPA by marco2012,complete,2020-04-13T01:38:25.000,maxwelljames,MicrosoftOffice,Microsoft Word,openDocument,/ability/gun.wav,,,,,,,,,,,,,,,,everything,,,,,,,,,,,,,,,,,,,,,,,,,
82,0413013626000000,SmartRPA by marco2012,complete,2020-04-13T01:38:48.000,maxwelljames,MicrosoftOffice,Microsoft Word,activateWindow,/where/lose.pptx,,,,,,,,,,,,,,,,technology,,,,,,,,,,,,,,,,,,,,,,,,,
83,0413013626000000,SmartRPA by marco2012,complete,2020-04-13T01:39:13.000,maxwelljames,MicrosoftOffice,Microsoft Excel,XMLImportWorkbook,,,,,Workbook17,Sheet1,"['Sheet1', 'Sheet10']",,technology,Z16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,0413013626000000,SmartRPA by marco2012,complete,2020-04-13T01:39:56.000,maxwelljames,MicrosoftOffice,Microsoft Excel,deleteWorksheet,,,,,Workbook12,Sheet4,"['Sheet4', 'Sheet13']",,produce,R18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,0413013626000000,SmartRPA by marco2012,complete,2020-04-13T01:40:16.000,maxwelljames,MicrosoftOffice,Microsoft PowerPoint,printPresentation,/say/however.mp3,,,,,,,,,,,,"0, 1, 2, 3, 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,0413013626000000,SmartRPA by marco2012,complete,2020-04-13T01:40:48.000,maxwelljames,MicrosoftOffice,Microsoft Excel,deleteWorksheet,,,,,Workbook13,Sheet7,"['Sheet7', 'Sheet2']",,step,F1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,0413013626000000,SmartRPA by marco2012,complete,2020-04-13T01:41:24.000,maxwelljames,MicrosoftOffice,Microsoft PowerPoint,newPresentationSlide,/ability/gun.wav,,,,,,,,,,,,"0, 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,0413013626000000,SmartRPA by marco2012,complete,2020-04-13T01:41:35.000,maxwelljames,MicrosoftOffice,Microsoft Excel,deselectWorksheet,,,,,Workbook9,Sheet19,['Sheet19'],,long,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,0413013626000000,SmartRPA by marco2012,complete,2020-04-13T01:41:48.000,maxwelljames,MicrosoftOffice,Microsoft Excel,printWorkbook,,,,,Workbook18,Sheet8,['Sheet8'],,,H13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,0413013626000000,SmartRPA by marco2012,complete,2020-04-13T01:42:33.000,maxwelljames,MicrosoftOffice,Microsoft Excel,deleteWorksheet,,,,,Workbook17,Sheet8,['Sheet8'],,sing,X10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
